iso3c,negara,mapel,skor_rerata,se_rerata,sd,se_sd,skor_10,se_10,skor_25,se_25,skor_50,se_50,skor_75,se_75,skor_90,se_90,selisih_90_10,se_selisih_90_10
USA,United States,Membaca,503.9375736570523,4.326216292916543,111.43538780924362,1.9273025274843651,355.7804000000001,6.079432388983551,427.58930000000004,5.633493819508854,506.40560000000005,4.54935589259623,582.5884,4.976771575041274,647.8471,5.4939664527956875,292.06669999999997,6.789519736165279
ECD,OECD,Membaca,475.5881987143185,0.4523937129520919,100.5082681179133,0.2501640291117424,341.9361783783784,0.6995802126156767,406.3538824324324,0.6196215939094257,478.8334513513514,0.5485811293804547,547.2993702702703,0.5241077756673205,603.4799513513514,0.5757267802101006,261.543772972973,0.7869613492201467
ALB,Albania,Membaca,358.43475823978576,1.9346874205237603,80.08607393443866,1.2537596252220722,259.92659999999995,2.2547590959334056,302.22159999999997,2.084747528312617,353.50890000000004,2.4202358877229733,411.04929999999996,2.8157306755973637,465.1540000000001,3.262156781180213,205.2274,3.351708375362068
ARG,Argentina,Membaca,400.7440434793743,2.5697667150159145,92.26247739796676,1.2216157567233619,284.59970000000004,2.8937718898620086,334.4332,2.857241934298023,396.7482,2.9538805249996525,462.4079,3.367614640958795,523.352,4.213123648724832,238.75230000000008,4.138332134246034
AZE,Azerbaijan,Membaca,365.21385835087807,2.4526128545158556,84.77168749176377,1.172082676061035,257.1317,2.718096985765553,304.4495,2.7524594844379116,362.91970000000003,2.7884023804959646,423.2273,2.8069382276829242,477.8131000000001,3.4002898773691177,220.6814,3.3581924448941947
BRA,Brazil,Membaca,410.35697944299073,2.0880190291528398,100.01432795521505,1.3678970719187722,283.97540000000004,2.823148404608666,339.28220000000005,2.4488238815353336,406.60285,2.4400517246908233,477.7516,3.0350484911923443,543.5059,3.472941998507902,259.5305,4.299015786394236
BRN,Brunei Darussalam,Membaca,429.2319117096338,1.1592120350667618,99.32628580214697,1.1321520600937294,299.5669,2.2575819326832347,357.7734,1.9851116846904209,428.8709000000001,1.543118670456394,500.483,2.0826124642167896,560.5405,3.0037220652975805,260.97360000000003,3.845254406480196
BGR,Bulgaria,Membaca,404.30373969630296,3.395752059450293,107.43653399520552,2.2980760316865614,267.59709999999995,3.5144714423208687,325.87020000000007,3.617650758587832,398.96500000000003,4.278162357186134,478.69949999999994,5.20485186587423,549.7313,5.792465897492291,282.1342,6.542475883431136
KHM,Cambodia,Membaca,328.842780421465,2.081342306526787,56.54803785481527,1.0102429982436019,256.21970000000005,2.613302398732725,291.8956,2.400564409328211,329.9316,2.3449560342952647,366.75800000000004,2.476335573876138,400.05449999999996,3.311221277296679,143.8348,3.333597934997892
HRV,Croatia,Membaca,475.4989464423297,2.4424196183180706,89.09707692315038,1.5925520181290318,357.682,4.167645593470943,414.553,2.98873856066866,476.8634,2.8386562040867154,538.7625,3.0578300583183946,590.1668,3.79598825620548,232.48480000000006,5.199365722868401
